タイプ,問題文,解答,解説
single,"運輸大臣の許可が必要な項目として,毎営業年度の○○の認可があった。",事業計画,毎年度の事業計画についても認可を受ける必要がありました。
single,"運輸大臣の許可が必要な項目として,重要な○○の譲渡があった。",財産,重要な財産の譲渡なども国による監督規制の対象でした。
single,"民営化されたことで労働基本権が認められ,労働組合はストライキ等を行う○○を持つこととなった。",争議権,"公労法の枠から外れ,民間企業と同様に争議権を持つことになりました。"
single,"特定地方交通線を除く全線区の鉄道旅客事業は,○○が引き継いだ。",旅客鉄道会社,"特定地方交通線はバス転換などが進められ,それ以外を旅客会社が引き継ぎました。"
single,"引き継いだ路線は,○○に即した活性化が進められた。",地域の実情,各地域の実情に合わせたサービスの提供や活性化が図られました。
single,"引き継いだ路線は,○○の徹底した合理化が進められた。",要員,"余剰人員の解消など,要員の徹底した合理化が進められました。"
single,"関連事業展開は○○され,経営者の責任の下に多角的弾力的な事業展開が可能になった。",自由化,"駅ビル事業だけでなく,流通業や通信事業などへの参入が可能になりました。"
single,"バス事業は一旦旅客鉄道会社が引き継いだが,速やかに○○させることとされた。",分離・独立,"鉄道とは別の賃金体系を導入するため,バス事業は分離独立させられました。"
single,"鉄道貨物事業は旅客部門から分離され,○○な事業運営とされた。",全国一元的,"貨物事業は旅客とは異なり,全国一元的な運営が維持されました。"
single,"分割民営化の課題は3点あり,そのうちの課題1は○○である。",資産・長期債務の処理,巨額の借金をどのように処理するかが大きな課題でした。
single,"分割民営化の課題は3点あり,そのうちの課題2は○○である。",余剰人員対策,適正人員を大幅に上回る職員の雇用対策が求められました。
single,"分割民営化当時の借金の総額において,○○の債務は25.0兆円にのぼった。",国鉄,当時の国鉄は巨額の長期債務を抱えていました。
single,"分割民営化当時の借金の総額において,○○の債務は4.5兆円であった。",鉄建公団,日本鉄道建設公団（鉄建公団）も多額の債務を抱えていました。
single,"国鉄や鉄建公団などの債務を合わせた総額は,○○兆円にものぼった。",37.1,長期債務や年金負担などを合わせると37.1兆円という天文学的な数字になりました。
multiple,"分割民営化における債務継承先として割り当てられた3つの組織は,○○,○○,○○である。","JR各社,新幹線保有機構,国鉄清算事業団",これら3つの組織が分割して債務を継承しました。
single,"分割民営化における債務継承先の1つとして,本州3社や貨物を指す○○が割り当てられた。",JR各社,経営体力のあるJR各社が債務の一部を継承しました。
single,"分割民営化における債務継承先の1つとして,新幹線設備を貸し出す組織である○○が割り当てられた。",新幹線保有機構,新幹線保有機構が債務の一部を負担しました。
single,"分割民営化に伴い国鉄から名称変更して発足し,債務継承先となった組織は○○である。",国鉄清算事業団,国鉄清算事業団が最も多くの債務を引き受けました。
multiple,"債務継承先から除外された,経営が苦しくなることが見込まれる三島会社は,○○,○○,○○である。","JR四国,JR北海道,JR九州",これら3社は経営基盤が弱いため債務継承を免除されました。
single,"債務継承先から除外されたJR四国,JR北海道,JR九州を総称して○○という。",三島会社,本州以外の3つの島にあることから三島会社と呼ばれます。
single,国鉄と鉄建公団からJR各社が継承した債務額は○○兆円である。,5.9,JR各社は直接5.9兆円の債務を継承しました。
single,"新幹線保有機構が継承した債務額は,○○兆円である。",5.7,新幹線保有機構は5.7兆円の債務を継承しました。
single,"国鉄清算事業団が継承した債務額は,○○兆円である。",25.5,最大の債務額である25.5兆円を国鉄清算事業団が継承しました。
single,"新幹線保有機構は,JR各社から支払われる○○が収入源であった。",新幹線リース料,"リース料が収入源であるため,実質的にはJR各社の負担となりました。"
single,国鉄清算事業団が支払う債務の一部にあたる2.9兆円の実質負担者は○○である。,JR各社,"財源などの関係から,実質的にはJR各社の負担となりました。"
single,JR各社が負担する実質債務額は分割民営化の時点で○○兆円となる。,14.5,"様々な負担が重なり,実質的な負担額は14.5兆円となりました。"
single,"JR各社の実質債務額は,最終的に○○解消時に1.1兆円増加した。",新幹線保有機構,機構の解消に伴いJR各社の負担がさらに増加しました。
single,"最終的なJR各社の債務負担額は,計○○兆円となった。",15.6,"初期の額から増加し,15.6兆円の負担となりました。"
single,"国鉄清算事業団の主な業務は,元国鉄保有の○○であった。",土地や株式の売却,資産を売却して債務の返済に充てることが目的でした。
single,"国鉄清算事業団の主な業務は,売却益による○○であった。",債務の償還,資産の売却益によって巨額の債務を償還しようとしました。
single,"国鉄清算事業団の主な業務は,分割民営化で再就職先のなかった○○であった。",元国鉄職員の雇用対策,"再就職先が決まらなかった職員を受け入れ,雇用対策を行いました。"
single,国鉄清算事業団は債務を完済できないまま○○年10月22日に解散した。,1998,"結局債務は完済できず,1998年に解散を迎えました。"
single,"国鉄清算事業団の残りの債務は,政府の○○に組み入れられ,現在も支払われ続けている。",一般会計,国鉄の借金は最終的に国民の税金（一般会計）で処理されることになりました。
single,"新幹線保有機構のリース料金は,JR各社の経常利益が○○パーセント程度になるように設定された。",1,"利益が出過ぎないよう,リース料金で調整が行われました。"
single,"新幹線リース料の制度は,○○を目指すうえで問題であるとの見解から廃止されることになった。",完全民営化,リース料の変動が経営の不安定要因となるため廃止されました。
single,"完全民営化に向けた取り組みの一環として,各社による○○が目指された。",株式上場,株式上場を果たすことで名実ともに民間企業となることを目指しました。
single,1987年当時の国鉄の在職職員数は○○万人であった。,27.6,民営化直前の国鉄には27.6万人の職員が在籍していました。
single,1987年当時の国鉄の本来の適正人員規模は○○万人であった。,18.3,JRとして事業を行うための適正人員は18.3万人と試算されていました。
single,"1987年当時の国鉄において,余剰人員として計上されたのは○○万人であった。",9.3,適正人員を差し引いた9.3万人が余剰人員となりました。
single,"余剰人員対策において,「一人たりとも路頭に迷わせない」と発言したのは当時の○○である。",中曽根首相,中曽根首相の強力なリーダーシップのもと雇用対策が進められました。
single,"余剰人員に対し,国を挙げて○○の確保に努めた。",雇用の場,"余剰人員を救済するため,様々な企業へ雇用の場を求めました。"
single,"総力を挙げた○○の結果,約2.8万人の再就職先が決定した。",雇用対策,官民一体となった雇用対策により多くの再就職先が確保されました。
single,"雇用対策の結果,残りの○○人が国鉄清算事業団へ移籍することになった。",7628,再就職先が決まらなかった7628人が清算事業団に移籍しました。
single,希望退職者の募集では○○万人の希望が集まった。,3.9,多くの職員が希望退職の道を選びました。
single,他JRへの移籍は○○万人となった。,1.8,他のJR会社への移籍などで雇用問題の解決が図られました。
single,"余剰人員の多くが北海道・九州から本州への○○異動となり,多くの職員が故郷を離れた。",広域,"地域間の人員の偏りを解消するため,広域的な配転が行われました。"
single,"1990年4月1日で再就職先が未決定であり,特別措置法の失効に伴い解雇となった人数から,この問題を○○問題という。",1047名,国鉄清算事業団を解雇された1
single,"国鉄清算事業団の解雇者のうち,半数に近い○○人が不当労働行為救済申し立てを行った。",3141,多くの解雇者が救済を求めて行動を起こしました。
single,"解雇者は,○○を通じて,JRへの採用に関して不当労働行為があったと主張した。",労組,労働組合を通じて法的な闘争を開始しました。
single,"不当労働行為があったとして,○○を相手にJR社員とすることを求めた。",JR各社,解雇された職員はJR各社を相手取り法廷闘争を開始しました。
single,"不当労働行為の救済申し立ては,全国の○○へ行われた。",地方労働委員会,全国各地の地方労働委員会に対して救済の申し立てが行われました。
single,"国鉄職員がJRに採用されるまでの手続きは,国鉄改革法第○○条によるものである。",23,国鉄改革法23条に基づいて採用選考が行われました。
single,"国鉄改革法により,JRへの採用は○○と国鉄の2つの主体によって実施された。",設立委員,JRの設立委員と国鉄が協力して採用作業を行いました。
single,"国労は,国鉄側が組合員を候補者名簿から○○的に外したことは組合差別であると主張した。",恣意,意図的に組合員を排除したと主張しました。
single,○○は「JRは社員として採用しなければならない」と次々に救済命令を発した。,地方労働委員会,多くの地方労働委員会が組合側の主張を認める命令を出しました。
single,"地方労働委員会の救済命令に対し,JRは○○へ再審査の申し立てを行った。",中央労働委員会,JR側は救済命令を不服として中央労働委員会に再審査を求めました。
single,"東京地裁の○○は,中労委の救済命令を取り消す判決を下した。",民事第11部判決,司法の場ではJR側の主張が認められる判決が出始めました。
single,"東京地裁の民事第11部判決や民事第19部判決では,中労委の救済命令を○○を下した。",取り消す判決,中労委の命令は法的根拠に欠けるとして取り消されました。
single,その後の○○高裁でもJRの責任を否定する判決が出た。,東京,高裁レベルでもJRの責任は一貫して否定されました。
single,"最高裁判決により,JRに○○としての責任がないことが確定した。",使用者,JRは採用前において使用者としての立場になかったと判断されました。
single,"2000年5月に自民,公明,保守,社民が発表した解決案を○○という。",四党合意,政治的な解決を目指して四党合意が形成されました。
single,"四党合意において,国労が○○に法的責任がないことを認めることが盛り込まれた。",JR,"和解の条件として,JRに対する法的責任の追及を放棄することが求められました。"
single,"四党合意において,○○が国労に対し,訴訟を取り下げるように求めることが盛り込まれた。",社民党,社民党が国労を説得する役割を担いました。
single,与党はJR各社に○○の場の確保等についての検討の要請をすると合意された。,雇用,解決策として雇用の場の確保が検討されました。
single,"四党合意は国労○○部も了解の上でなされたが,組織内の統一は図れなかった。",執行,"執行部は了解したものの,組合内での意見対立が起きました。"
single,2002年1月に○○を相手に283名による提訴が行われた。,日本鉄道建設公団,"JRの責任が否定されたため,訴訟の矛先が鉄建公団に変わりました。"
single,2002年11月に国労は第○○回定期全国大会を実施した。,70,定期全国大会で与党に解決案を示す責任があると主張しました。
single,"2002年12月,当時の○○は社民党に対して四党合意からの離脱を正式に通告した。",与党三党,"国労内の意見統一が図れなかったため,与党側から合意破棄が通告されました。"
single,"2009年3月の東京高裁は,鉄建公団に対し1人当たり○○万円の支払いを命令した。",550,"国鉄による不当労働行為を一部認め,慰謝料の支払いを命じました。"
single,"政府が4党案の受け入れを表明した一方で,和解内容は○○であるとの社会的批判が挙がった。",法外,多額の支払いに対して世論から批判の声が上がりました。
single,"2010年4月,○○など4党が政府に解決申し入れをした。",民主党,"政権交代後,民主党を中心とした新たな枠組みで解決が模索されました。"
single,"○○年7月に開催された国労定期大会で,闘争の終結が機関決定された。",2011,長きにわたる闘争がついに終結を迎えることになりました。
single,"2011年7月の国労定期大会で○○を機関決定し,1047人問題は事実上幕を閉じた。",闘争の終結,"組合側が和解案を受け入れたことで,歴史的な労働争議が終結しました。"
single,"会社別の運賃設定による負担増を防ぐため,○○の維持が図られた。",通算性,分割されても長距離運賃が割増しにならないよう配慮されました。
single,"境界駅での乗換増を防ぐため,分割後も○○を維持した。",相互乗入,"利便性を損なわないよう,会社間をまたぐ直通列車が維持されました。"
single,"列車のダイヤ設定は,JR7社が一同に会して○○を決定することとした。",ダイヤ,"各社の利害対立による非効率を防ぐため,共同で決定しました。"
single,"運賃収入の配分において,適切に配分するため○○に応じて配分することとした。",乗車キロ,各社が担った輸送距離に応じて運賃収入を公平に配分しました。
single,"運賃収入の配分において,販売手数料○○%を設定することとした。",5,切符の販売に関する手数料の基準を設けました。
single,"乗務員の運用において,○○駅で乗務員が交代することによる非効率が発生していた。",境界,境界駅での交代を減らす運用が可能になりました。
single,"列車の遅延対応などにおいて,想定される事態について共通○○を作成し対応した。",マニュアル,異常時においても各社が連携して対応できるよう共通ルールが定められました。
single,"1947年に結成され,約50万8000人を擁した国鉄時代の労働組合の略称は○○である。",国労,国鉄労働組合（国労）は当時最大の労働組合でした。
single,"労使対立や乗務員権益を追求し,国労から分裂した組合の略称は○○である。",動労,国鉄動力車労働組合（動労）は職能別の強い要求を掲げました。
single,"動労の前身として,1951年5月に結成された組合の略称は○○である。",機労,機労から後に動労へと発展しました。
single,"労使協調・生産性向上を掲げ,1968年10月に約4万3000人で結成された組合の略称は○○である。",鉄労,鉄道労働組合（鉄労）は分割民営化に賛成の立場をとりました。
single,"1974年3月に結成された,労使対立・共産系の組合の略称は○○である。",全動労,様々な思想や立場で労働組合が乱立していました。
single,"国労の右派が分裂し,1987年2月に約9",000人で結成された組合の略称は○○である。,鉄産総連
single,"鉄労,動労などが合流し,1987年2月に結成されたのは○○である。",鉄道労連,分割民営化に協力的な組合が合流して結成されました。
single,鉄道労連は1989年6月に○○と改称した。,JR総連,"JR発足後,全日本鉄道労働組合総連合会（JR総連）となりました。"
single,"スト権を巡る対立からJR総連が分裂し,約56",000人で結成されたのは○○である。,JR連合
single,1999年9月に全動労などが合流して結成された組合は○○である。,建交労,国鉄・JRの労働組合は複雑な変遷を辿りました。
single,"1987年4月のJR東海発足時,国労系は○○東海となった。",国労,各組合は地域ごとに支部を形成しました。
single,"JR東海発足時,鉄産総連系は○○鉄産労となった。",東海,東海地方の鉄産総連系組合として活動しました。
single,"JR東海発足時,鉄労・動労系は○○労組となった。",東海,東海労組は後にさらなる再編を経験します。
single,"東海労組の旧動労系が1991年に分裂してJR総連に加盟し,○○となった。",JR東海労,JR東海労はJR総連傘下の組合として活動しました。
single,"東海鉄産労と東海労組などが合流し,平成5年3月に結成されたのは○○である。",JR東海ユニオン,現在JR東海で最大の組合であるJR東海ユニオンが結成されました。
single,"現在のJR東海の労働組合の加入状況において,加入率95.5%を占めるのは○○である。",ユニオン,JR東海ユニオンが圧倒的な多数を占めています。
single,"現在のJR東海の労働組合の加入状況において,加入率1.3%を占めるのは○○である。",国労,国労の加入率は現在では非常に少なくなっています。
single,"現在のJR東海の労働組合の加入状況において,加入率0.8%を占めるのは○○である。",東海労,東海労の加入率もごくわずかです。
single,会社が重視する労使関係の考え方を○○論という。,二本のパイプ,"会社と労働組合,それぞれのパイプを通じて社員と繋がる考え方です。"
single,"二本のパイプとは,○○のパイプと会社のパイプである。",労働組合,2つの独立したパイプが機能することが重要とされています。
single,"会社と組合のパイプを通じて行われる,会社と組合間の①は○○である。",労使協議,会社と組合のパイプを通じて意見交換や協議が行われます。
single,会社と組合のパイプを通じた労使協議に対する②は○○である。,結果,労使協議によって得られた結果が共有されます。
single,会社から現場の実態を吸い上げるパイプの対象となる③は○○である。,社員,会社のパイプを通じて社員の生の声が直接吸い上げられます。
single,会社のパイプを通じた会社から社員への④は○○である。,説明・指示・指導,会社の考えや施策が社員に直接伝えられます。
single,労働組合のパイプを通じた社員から組合への⑤は○○である。,意見・要望,社員の意見が組合を通じて会社に届けられます。
single,"二本のパイプが円滑に目詰まりなく稼動し○○しあうことにより,一層有効な施策が実施できる。",補完,会社と組合がそれぞれの役割を果たし補完しあうことが重要です。
single,会社とJR東海ユニオンの間で1993年に交わされた宣言を○○という。,新宣言,新しい時代の労使関係を構築するための重要な宣言です。
single,"新宣言は,会社と○○の間で交わされた。",JR東海ユニオン,最大の労働組合であるJR東海ユニオンとの間で締結されました。
single,"新宣言では,建設的で平和的な労使関係を誓い,具体的には○○を行使しないことを述べている。",争議権,"ストライキ等を行わず,話し合いによる解決を誓いました。"
single,"新宣言の目的は,経営破綻に瀕していた国鉄からの○○を変え,新しく出発することである。",経営形態,過去との決別と新しい会社への生まれ変わりを目的としました。
single,"新宣言の目的は,斜陽と言われた鉄道事業を○○させ,世の中に貢献できる会社として発展させることである。",活性化,鉄道事業の再生とさらなる発展を目指しました。
single,"新宣言の第1項で,将来にわたりお客様に○○に利用していただける会社として発展させていくと述べている。",快適,お客様第一の姿勢を明確にしています。
single,"新宣言の第2項で,公共的使命の大きさを自覚し,○○な労使関係の確立に努めるとある。",建設的で平和的な,対立ではなく協調による労使関係の構築を宣言しました。
single,"新宣言の第3項で,会社内の問題は○○的に解決するという大原則に立つと述べている。",自主,社内の問題は外部に頼らず自ら解決する姿勢を示しました。
single,"新宣言の第3項で,会社は○○の経営ということを強く自覚すると述べている。",自主自立,"国からの依存を脱却し,自立した経営を行うことを宣言しました。"
single,"新宣言の第3項で,組合は○○主義に徹し,互いに社外からの介入を受けないと述べている。",労働組合,"政治的イデオロギーではなく,純粋な労働組合運動に徹することを誓いました。"
single,"新宣言の第4項で,経営懇談会などの充実に努め,健全な○○の確立に努めるとある。",経営協議会,労使の意思疎通を図るための協議会制度を重視しました。
single,"新宣言の第5項で,安定的・○○的な労使関係の確立に努めると述べている。",協調,"互いに理解し合い,協力して会社を発展させる関係を目指しました。"
single,新宣言の理念を将来にわたって実現させることを確認した宣言を○○という。,将来につなぐ共同宣言,新宣言の精神を次の世代へ継承するための宣言です。
single,"将来につなぐ共同宣言は,○○年8月に締結された。",2017,発足30周年の節目に改めて労使の絆が確認されました。
single,"将来につなぐ共同宣言の目的は,日本の○○と社会基盤の発展に貢献する使命を果たし続けることである。",大動脈,東海道新幹線などを担う社会的責任を再確認しました。
single,"将来につなぐ共同宣言の第1項で,相互の理解と信頼に基づく○○をさらに強固にしていくとしている。",労使関係,これまで築き上げてきた強固な労使関係を維持・発展させます。
single,"将来につなぐ共同宣言の第2項で,いかなる課題も共に乗り越える○○な労使関係を磨き上げていくとしている。",建設的,困難な状況でも協力して解決に向かう姿勢を示しています。
single,"将来につなぐ共同宣言の第3項で,将来にわたって社員が誇りと○○を持てる働きやすい職場づくりに取り組むと述べている。",やりがい,社員のモチベーションや働きがいを重視する姿勢を示しました。
single,"将来につなぐ共同宣言の第4項で,対等の立場で緊密な○○や真摯な協議を積み重ねると述べている。",意思疎通,労使間のコミュニケーションを絶やさないことを誓約しました。
single,"将来につなぐ共同宣言の第5項で,社会的使命と○○を強く自覚すると述べている。",責任,社会インフラを支える企業としての重い責任を自覚する内容です。
